BIN_ID,BIN,Network,Profile,PAN,CVV2,EXP_YYMM,Nombre,Track1,Track2
BIN-02,554367,MC-like (5xx),TI,5543678496965324,621,2812,TEST/REDTEAM,%B5543678496965324^TEST/REDTEAM^28121016050000000000000?,;5543678496965324=28121016050000000000?
BIN-02,554367,MC-like (5xx),TI,5543671012269164,490,2812,TEST/REDTEAM,%B5543671012269164^TEST/REDTEAM^28121017100000000000000?,;5543671012269164=28121017100000000000?
BIN-02,554367,MC-like (5xx),TI,5543677848018451,214,2812,TEST/REDTEAM,%B5543677848018451^TEST/REDTEAM^28121014000000000000000?,;5543677848018451=28121014000000000000?
BIN-02,554367,MC-like (5xx),TI,5543676270482813,991,2812,TEST/REDTEAM,%B5543676270482813^TEST/REDTEAM^28121017400000000000000?,;5543676270482813=28121017400000000000?
BIN-02,554367,MC-like (5xx),TI,5543674893252887,100,2812,TEST/REDTEAM,%B5543674893252887^TEST/REDTEAM^28121017130000000000000?,;5543674893252887=28121017130000000000?
BIN-02,554367,MC-like (5xx),TI,5543675701543037,999,2812,TEST/REDTEAM,%B5543675701543037^TEST/REDTEAM^28121016800000000000000?,;5543675701543037=28121016800000000000?
BIN-02,554367,MC-like (5xx),TI,5543671171822787,269,2812,TEST/REDTEAM,%B5543671171822787^TEST/REDTEAM^28121013710000000000000?,;5543671171822787=28121013710000000000?
BIN-02,554367,MC-like (5xx),TI,5543678963834656,548,2812,TEST/REDTEAM,%B5543678963834656^TEST/REDTEAM^28121016290000000000000?,;5543678963834656=28121016290000000000?
BIN-02,554367,MC-like (5xx),TI,5543677133150985,335,2812,TEST/REDTEAM,%B5543677133150985^TEST/REDTEAM^28121017020000000000000?,;5543677133150985=28121017020000000000?
BIN-02,554367,MC-like (5xx),TI,5543673010310511,626,2812,TEST/REDTEAM,%B5543673010310511^TEST/REDTEAM^28121013430000000000000?,;5543673010310511=28121013430000000000?
